HIP,RArad,DErad,Hpmag
2006,6.35090339,1.93972365,5.9256
2021,6.41334187,-77.25503494,2.9305
2072,6.55048403,-43.67990951,3.9946
2081,6.5702816,-42.30512119,2.5512
2210,6.98213616,-33.00704465,4.9006
2219,7.01185216,17.89307506,5.0291
2225,7.05660462,44.39448922,5.1998
2240,7.11007296,-39.91490177,5.5259
2353,7.50980389,-3.9572968,5.8315
2355,7.53056606,29.7516954,5.277
2377,7.582974,59.97756392,5.9511
2381,7.5944635,-23.78771444,5.2165
2383,7.608228,-48.21469832,5.7538
2472,7.85356682,-48.80356174,4.7736
2484,7.88566983,-62.9580855,4.3328
2487,7.88898332,-62.96545002,4.5529
2497,7.92171239,52.83955844,5.7599
2505,7.94299141,54.52232512,4.7078
2548,8.09897895,6.95545464,5.698
2568,8.14750357,20.29443334,5.5464
2578,8.18247604,-63.03137879,5.092
2599,8.24994382,62.93178764,4.2103
2661,8.42108793,-29.55820678,5.7087
2711,8.61506278,-52.37318304,5.6755
2762,8.81100423,-3.59275792,5.3209
2802,8.92139522,-48.00066056,5.6144
2854,9.03453122,54.16845377,5.0536
2876,9.11392499,60.32621718,5.8676
2900,9.1936294,44.48850967,5.2561
2903,9.1971321,15.23175966,5.8347
2912,9.22016213,33.71935253,4.3098
2920,9.24277909,53.89693155,3.6112
2941,9.33244949,-24.76722636,5.7134
2942,9.33844201,35.39951042,5.5949
3031,9.6395805,29.31236894,4.4994
3083,9.79119578,49.35459519,5.564
3092,9.83165586,30.86122597,3.4328
3138,9.9814748,21.43856443,5.5468
3179,10.1266135,56.53740925,2.4107
3231,10.27998083,39.45867139,5.4579
3245,10.33156671,-46.08500948,4.7591
3277,10.44292462,-56.50145473,5.7683
3299,10.51431595,66.147613,5.9967
3300,10.51618413,50.51254141,4.7665
3330,10.61790459,-65.46813007,5.494
3405,10.83851629,-57.46309771,4.37
3414,10.86704476,47.02463659,5.0087
3419,10.89678447,-17.98668407,2.2061
3455,11.04752268,-10.60927381,4.9349
3478,11.10927619,47.86396289,5.6246
3504,11.18125896,48.28438233,4.4631
3505,11.18515532,-22.00633244,5.3047
3544,11.32168135,55.2214086,5.4258
3572,11.4129632,74.98812638,5.677
3583,11.43930826,-47.55217594,5.9251
3607,11.54845525,-22.52206723,5.6612
3632,11.63740007,15.47561225,5.38
3675,11.75594363,11.97393476,5.6735
3693,11.83495919,24.26737676,4.2487
3717,11.93000742,-18.06142241,5.8552
3721,11.94174807,74.8475875,5.4062
3741,12.00437915,-21.72247474,5.5593
3765,12.09388796,5.2833888,5.8775
3781,12.14632698,-74.92335367,5.2343
3786,12.17039763,7.58520178,4.5555
3801,12.20830552,50.96819151,4.8742
3810,12.24462417,16.94113366,5.1781
3821,12.27125307,57.81654753,3.5835
3849,12.35647368,-13.56101721,5.7503
3881,12.45345727,41.07895471,4.4853
3885,12.47128716,27.71031153,5.6451
3909,12.53218464,-10.64377032,5.281
3949,12.67136694,-50.98692401,5.3218
3951,12.68155211,64.24758081,5.4654
4104,13.16917039,-24.00592582,5.6191
4147,13.25204352,-1.14422074,4.8864
4151,13.26783044,61.12355714,4.9069
4200,13.40741154,-62.87135328,5.6532
4267,13.6467499,19.1884358,5.7989
4283,13.71984574,83.70746148,5.6279
4288,13.7417494,23.62844589,5.6173
4292,13.75080475,58.97279667,4.9892
4293,13.75124752,-69.52697872,5.6126
4346,13.92668412,-7.34703982,5.9961
4371,14.00627568,-11.26650675,5.4752
4422,14.16671041,59.1811659,4.7838
4427,14.17708782,60.71674955,2.1379
4436,14.18790714,38.49925521,3.9034
4440,14.19558681,60.36284788,5.5488
4463,14.30178257,23.41775993,4.5603
4510,14.45895161,28.99223558,5.6103
4572,14.62916143,66.35182537,5.9731
4577,14.65144096,-29.35746422,4.2628
4587,14.68286522,-11.37993902,5.7802
4675,15.01477976,44.71330475,5.6834
4770,15.32593932,-38.91664883,5.7493
4852,15.60990706,-31.55204216,5.5405
4889,15.70452754,31.80433662,5.4945
4890,15.70496554,-46.39733799,5.5481
4906,15.73606599,7.89007267,4.4267
4914,15.76085294,-4.83635034,5.5696
5021,16.08145365,61.58024412,5.9575
5081,16.27229772,14.94600348,5.735
5131,16.42053076,21.47321626,5.3425
5132,16.42365763,21.46547295,5.5192
5164,16.52137503,-9.83936868,5.5908
5165,16.52128448,-46.71849569,3.4646
5268,16.82738591,-61.77526175,5.5032
5296,16.94216787,-9.78559181,5.8131
5300,16.94927584,-41.48693712,5.2617
5310,16.98795739,20.73932084,5.6084
5317,17.00299439,43.94224104,5.0821
5336,17.05383814,54.92422782,5.2898
5346,17.09309886,5.65022118,5.5927
5348,17.09608393,-55.2458325,3.9219
5361,17.13936551,58.2634795,5.7762
5364,17.14693207,-10.18192793,3.6235
5372,17.18399738,86.25711805,4.4059
5434,17.3755089,47.2418245,4.235
5447,17.43249023,35.62083036,2.1741
5454,17.45501983,19.65838529,5.7069
5493,17.57853007,42.08157675,5.7972
5494,17.581039,25.45803971,5.9332
5518,17.66360611,68.77868757,5.3204
5542,17.77471147,55.14994759,4.3873
5544,17.77822205,31.4247655,5.225
5550,17.79287107,37.72413836,5.7691
5566,17.85631894,64.20272388,5.5482
5571,17.86330916,21.03467563,4.8317
5586,17.91494441,30.08972944,4.6751
5589,17.92237012,65.01888508,5.5562
5626,18.06878974,79.67397513,5.6135
5737,18.43250842,7.57548938,5.2849
5742,18.43722969,24.58376439,4.834
5778,18.53186778,16.13354221,5.9444
5799,18.59986256,-7.92350028,5.2444
5833,18.70491854,-0.97429414,5.7987
5862,18.7940318,-45.53209714,5.0854
5896,18.93956338,-68.87623707,4.9639
5926,19.04959118,71.74384579,5.9673
5951,19.15144454,-2.50021268,5.5765
6061,19.44993347,3.61452053,5.1732
6193,19.8665742,27.2640869,4.7736
6242,20.02049032,58.23161618,5.1132
6315,20.28064153,28.73839002,5.3776
6411,20.58497105,45.52875641,5.0399
6502,20.87903354,-30.94550602,5.9239
6514,20.91898228,37.7149903,5.6691
6537,21.00604673,-8.18275392,3.7757
6592,21.16988856,-41.49245871,5.5784
6670,21.40503868,-14.59875443,5.0612
6686,21.45251246,60.23540367,2.7146
6692,21.48293395,68.12994732,4.8899
6706,21.56366122,19.17232091,5.4375
6732,21.67352947,19.24056465,5.6657
6748,21.71481849,-13.05653364,5.5926
6813,21.91285482,45.40695276,4.9223
6867,22.09142395,-43.31772907,3.5329
6960,22.4004177,-21.62934675,5.1255
6999,22.52542518,47.00737701,5.4338
7007,22.54559633,6.14393327,4.9799
7078,22.80632756,70.26478888,5.93
7083,22.81242304,-49.07307705,4.0987
7097,22.87080767,15.34583101,3.7914
7118,22.93021489,-30.28292502,5.9572
7213,23.23355084,-36.86518188,5.6515
7251,23.35711613,58.32734509,5.8247
7276,23.42805469,-7.02514281,5.886
7294,23.48302533,59.23209666,4.8477
7321,23.56915513,37.23719744,5.8861
7345,23.65717241,-15.67635289,5.6475
7359,23.7043642,18.46067231,5.9918
7450,23.99565515,-15.40021578,5.5783
7463,24.03512086,-29.9074341,5.7687
7513,24.19990403,41.40638473,4.2118
7535,24.27483894,12.14151075,5.6279
7568,24.36575014,-84.76964997,5.8263
7588,24.42813208,-57.23665985,0.4233
7607,24.49792632,48.62848635,3.7515
7617,24.53151508,57.97764481,5.7152
7650,24.62892061,73.04007186,5.4463
7679,24.71544936,-21.2754746,5.6627
7719,24.83757933,44.3861281,5.1627
7751,24.94684868,-56.19644225,5.9046
7818,25.14501738,40.57710615,4.9376
7825,25.1648354,43.29776345,5.6994
7884,25.35794833,5.48760467,4.5914
7916,25.43665915,-11.323668,5.8455
7918,25.44381588,42.6138069,5.0839
7921,25.44980041,-60.78924089,5.8647
7941,25.51256353,-36.83226419,5.7106
7943,25.51439553,35.24576693,5.6163
7955,25.53602204,-32.32685731,5.4202
7965,25.58518454,68.04304645,5.5571
7978,25.62146269,-53.74057473,5.6378
7981,25.62479066,20.27015048,5.3905
7999,25.68132061,-3.6901168,5.1677
8016,25.73220422,70.62255893,5.1822
8046,25.83223957,60.55137088,5.7809
8068,25.91506366,50.68876539,3.9801
8102,26.02136459,-15.93955572,3.6295
8198,26.34828635,9.15764141,4.4267
8209,26.41106045,-25.05243389,5.3833
8230,26.49694066,-5.73322714,5.4934
8240,26.52469182,-50.81621315,5.5513
8241,26.52557875,-53.52218046,5.0555
8362,26.93360061,63.85310133,5.7673
8387,27.04542776,16.95563078,5.853
8433,27.17366168,32.68948708,5.9059
8497,27.39662951,-10.68618052,4.7411
8544,27.53575106,22.27535615,5.9716
8593,27.72699465,-50.20612721,5.9906
8645,27.8650443,-10.33494527,3.9067
8704,27.99711382,55.14740474,5.469
8714,28.03897532,50.79286353,5.6854
8778,28.21703195,-16.92912377,5.8565
8796,28.27041599,29.57939714,3.521
8814,28.32229933,40.72979984,5.5725
8832,28.38235766,19.29409257,3.8584
8833,28.38890184,3.18747844,4.7687
8837,28.41174873,-46.30244641,4.4099
8882,28.59191793,-42.49688106,5.106
8886,28.59868112,63.67014682,3.3107
8903,28.65978905,20.80829983,2.7044
8928,28.73339493,-67.64748114,4.8442
8993,28.96263319,23.57734291,5.9283
9007,28.98680221,-51.60958691,3.8511
9009,29.00001598,68.68526519,4.9527
9021,29.03845779,37.25180399,5.8529
9061,29.16732764,-22.52671161,5.0531
9095,29.2916362,-47.38529908,4.9864
9110,29.33763943,17.81758918,5.2589
9132,29.4322307,27.80452392,5.9114
9153,29.48239741,23.59609596,4.8582
9222,29.63958207,49.2042521,5.8612
9236,29.69113173,-61.56992473,2.9305
9312,29.90828955,64.62163887,5.2961
9313,29.91189296,-42.03028936,5.7343
9326,29.9424513,-20.82457561,5.5194
9347,30.00093673,-21.07777206,4.1012
9372,30.11154959,-8.52382604,5.3545
9440,30.31165162,-30.00156552,5.5008
9459,30.42667645,-44.71339059,5.2658
9480,30.48979025,70.90704624,4.5498
9487,30.51166985,2.76376128,3.8281
9505,30.57530927,54.48754927,4.9807
9570,30.74152889,33.28415125,5.5314
9573,30.75078599,64.39002286,5.6907
9589,30.79835728,0.12845405,5.4819
9598,30.8591264,72.42123962,3.9602
9621,30.91359348,25.93544862,5.7591
9622,30.91868528,-4.10336419,5.7274
9640,30.97466207,42.32984825,2.2409
9677,31.12262522,-29.29683943,4.6405
9727,31.2793896,77.28145622,5.3539
9763,31.38157429,76.11511014,5.3823
9836,31.64130245,22.64840425,5.0756
9884,31.79285751,23.46277747,2.1726
9977,32.12144141,37.85918341,4.8326
9990,32.16908635,58.42360506,5.8124
10035,32.28888097,-43.51647091,5.9989
10053,32.35535917,25.9399736,5.0654
10064,32.38550383,34.9873921,3.0625
10155,32.65642516,19.5004037,5.7378
10212,32.838177,8.57008269,5.757
10280,33.09301657,30.30321456,5.0791
10305,33.19717942,-2.39345966,5.7721
10306,33.19993287,21.21098283,5.3294
10320,33.22691688,-30.72384253,5.2714
10324,33.25004581,8.84675255,4.5172
10328,33.26352155,15.27991058,5.8196
10340,33.305587,44.2316892,4.9716
10366,33.40008119,51.06623276,5.4642
10418,33.56042758,-67.84155184,5.6677
10513,33.86899314,-67.74633498,5.828
10535,33.92847662,25.04325525,5.6885
10540,33.94139918,25.78309887,5.888
10559,33.98456267,33.35897589,5.258
10602,34.12708462,-51.51211139,3.5211
10642,34.24578976,-6.42185626,5.6658
10644,34.2600731,34.22482957,4.9831
10670,34.328482,33.84732084,4.0211
10718,34.49925434,57.89980819,5.9172
10723,34.50510965,1.75689966,5.7237
10732,34.53144402,19.90116107,5.5924
10793,34.73745335,28.64267405,5.3089
10819,34.82019861,47.37998811,5.3248
10826,34.83661105,-2.97706076,4.9898
10871,34.97602802,-55.94484168,5.926
10944,35.24238698,50.15154161,5.5474
11001,35.43759554,-68.65942375,4.098
11021,35.48597958,0.39569191,5.3733
11029,35.50600211,-10.77733436,5.5187
11046,35.55169503,-0.88474022,5.5043
11060,35.58930921,55.84565632,5.2722
11072,35.63508769,-23.81631543,5.3187
11090,35.70984185,41.39653474,5.8827
11102,35.72772632,-51.09228914,5.9685
11220,36.10372472,50.00663301,5.3524
11249,36.20435262,10.61059805,5.4559
11258,36.22497738,-60.31162904,5.4522
11313,36.40583751,50.2786658,4.851
11345,36.4875514,-12.29045207,4.8772
11348,36.50156714,-15.34111461,5.9217
11407,36.74627095,-47.70382674,4.2002
11432,36.86578361,31.80134871,5.713
11477,37.00704186,-33.81105276,5.1641
11484,37.03965837,8.46008868,4.2725
11486,37.04162629,29.66953827,5.3697
11569,37.26661748,67.40238406,4.5135
11670,37.63464228,25.23521401,5.9694
11738,37.87534296,2.26720641,5.4248
11757,37.91716948,-79.10924936,5.4354
11767,37.946143,89.26413778,2.1077
11783,38.0219889,-15.24431882,4.8432
11784,38.02556615,36.14723145,5.2802
11791,38.03931841,-1.03481748,5.5288
11918,38.46130175,-28.23234018,4.9548
12002,38.67745731,-7.85928859,5.8935
12072,38.91142603,37.31229059,5.869
12086,38.9449959,34.68768421,5.5064
12093,38.96870387,5.59330143,5.0189
12107,39.00028394,-7.83145295,5.6141
12114,39.01596871,6.88336442,5.9524
12122,39.03865178,-30.04496362,5.9055
12148,39.14626518,7.7300777,5.9767
12153,39.15728637,12.44784626,5.7528
12186,39.24425349,-34.57734541,5.9086
12225,39.35110365,-52.54308836,5.3735
12239,39.40002831,65.74535769,5.9255
12247,39.42407322,-3.39606795,5.8154
12273,39.50870085,72.81821444,5.3275
12288,39.57748192,-30.19388298,5.9386
12332,39.70416228,21.96144464,5.5071
12387,39.87061789,0.32851674,4.0081
12390,39.89055078,-11.87158223,4.9262
12394,39.89676533,-68.26694753,4.0933
12413,39.94966511,-42.89163303,4.7613
12444,40.05209859,-9.4526837,5.904
12484,40.16491588,-54.54992418,5.3052
12486,40.16638218,-39.85530924,4.2751
12489,40.17097153,27.06100888,5.3318
12530,40.30779538,-0.69534801,5.8383
12623,40.56220344,40.19438712,5.024
12640,40.59134422,20.01157724,5.7472
12653,40.63816024,-50.80082679,5.518
12692,40.76167828,55.10607126,5.7279
12706,40.82551857,3.23617153,3.5001
12719,40.86296038,27.70717056,4.6112
12768,41.02149192,44.297055,5.59
12770,41.03064358,-13.85867601,4.2067
12777,41.04870044,49.22866627,4.2097
12803,41.13738,15.31189961,5.7767
12821,41.20695917,67.82470917,5.9966
12828,41.23488946,10.11422043,4.3439
12832,41.23961449,12.44596675,5.242
12843,41.27492268,-18.5726501,4.5718
12871,41.36438582,-63.70453152,5.9002
12876,41.38555257,-67.61672398,4.8551
13055,41.94847928,81.4486658,5.9888
13061,41.97683954,29.24742358,4.6868
13108,42.13359606,18.28386999,5.9902
13121,42.19112222,25.18807342,5.892
13141,42.25569583,-62.80659224,5.2973
13147,42.27233094,-32.40628374,4.6193
13165,42.32315687,17.46434449,5.2433
13202,42.47562953,-27.94203571,5.4
13209,42.49578916,27.26079044,3.5831
13244,42.61890276,-75.06688105,4.9107
13254,42.64547597,38.31890843,4.3081
13265,42.66834966,-35.67571668,5.6391
13268,42.67413627,55.89552946,3.896
13288,42.75977471,-21.00397917,4.9284
13327,42.87319951,15.08212699,5.4946
13328,42.87846186,35.05989402,4.6674
13490,43.42740852,38.33767876,5.4318
13531,43.56442622,52.7624895,4.0759
13654,43.95209492,18.33167611,5.4449
13665,43.98642968,61.52106289,5.6858
13701,44.10668253,-8.89760992,4.0583
13702,44.10825992,18.02365085,5.6882
13717,44.15602149,-3.71221448,5.2017
13775,44.32200185,31.93429436,5.1062
13782,44.34875521,-23.86207676,5.5093
13834,44.52114717,20.66881047,5.8888
13835,44.52369954,-23.60613839,5.9692
13847,44.56548212,-40.30473465,2.9378
13874,44.67538996,-2.78272368,5.2375
13879,44.69021007,39.66282729,4.7156
13884,44.69902524,-64.07129732,5.021
13905,44.76545725,35.18311441,5.1039
13914,44.80305817,21.34044508,4.6513
13942,44.90027279,-25.27433866,5.7905
13951,44.92151024,-2.46490098,5.5407
13954,44.92873468,8.90740132,4.6767
13965,44.95742783,47.22063876,5.6282
14043,45.21743381,52.35179738,5.2569
14060,45.2915276,-7.66283639,5.9196
14109,45.47562623,26.46234174,5.959
14131,45.56415577,-71.90249559,5.4682
14135,45.56991317,4.08992556,2.6196
14143,45.59378376,4.35287046,5.5921
14146,45.59830477,-23.62433608,4.1328
14168,45.6760814,-7.68546362,5.4804
14187,45.73267345,-46.97504242,5.9706
14240,45.90376559,-59.73761999,5.2076
14293,46.06865546,-7.60089955,5.3168
14328,46.199126,53.50645015,3.0586
14354,46.29373783,38.8405331,3.2889
14376,46.36119693,25.25519873,5.4449
14382,46.38510729,56.70554804,4.9311
14417,46.53313284,79.41851013,5.5816
14439,46.59869851,13.1874028,5.8111
14456,46.63953383,-6.08854222,5.2905
14502,46.82923675,64.05760178,5.8888
14521,46.88291791,-78.98942317,5.7475
14576,47.04220893,40.95565071,2.0969
14632,47.2620139,49.61350017,4.1758
14668,47.37345501,44.85788919,3.9564
14677,47.40303168,29.07711231,5.7816
14764,47.66156383,11.87269224,5.9569
14817,47.82250622,39.6115706,4.7813
14838,47.90695681,19.72669782,4.5117
14844,47.92855151,81.47071196,5.9698
14862,47.98432745,74.39386864,4.864
14879,48.01783347,-28.98910634,3.9821
14893,48.05932736,27.2570131,5.7499
14915,48.10987464,6.66088595,5.6781
14930,48.13808301,-57.3215818,5.7328
14954,48.19301529,-1.19593262,5.1852
15110,48.72547793,21.0446286,4.8803
15154,48.83519832,30.55667489,5.62
15192,48.94988614,57.14062523,5.9277
15197,48.95844487,-8.81984039,4.8647
15201,48.98899139,-77.38860486,5.612
15219,49.0508529,50.93771108,5.2076
15305,49.3608419,-47.75173752,5.9976
15330,49.43528835,-62.57689909,5.6405
15334,49.44057223,39.283414,5.997
15338,49.44721549,44.02508169,5.4716
15371,49.54640433,-62.50793544,5.3533
15382,49.59206992,-22.51114881,5.0241
15383,49.59282807,-0.93014132,5.5554
15404,49.65717015,50.22223545,5.143
15411,49.67113506,-18.55964001,5.8156
15416,49.68259956,34.2226736,4.9927
15444,49.78174375,50.09502768,5.0299
15457,49.83974565,3.36997079,4.9768
15474,49.87904019,-21.7579425,3.7303
15479,49.89542986,-24.12284661,5.7006
15510,49.97176989,-43.07154908,4.395
15520,49.99690314,65.65232711,4.6984
15547,50.08158458,77.73490163,5.5101
15549,50.0848594,29.04849808,4.5975
15619,50.27821097,3.67568171,5.85
15627,50.30671247,21.14714049,5.2753
15643,50.35010648,-23.63508949,5.6537
15648,50.36086272,43.32965168,4.9814
15696,50.54954369,27.60757647,5.7153
15737,50.68863434,20.74210521,5.2483
15770,50.80490208,49.21333017,5.301
15861,51.07693647,24.72418778,5.6727
15863,51.08061917,49.86124305,1.8972
15876,51.12366323,33.53601767,5.7849
15890,51.16900557,64.58599576,5.1901
15900,51.20348981,9.02906438,3.77
16083,51.79216991,9.73277231,3.7082
16112,51.88902373,-35.68133908,5.8699
16142,52.00395007,-11.28648698,5.9077
16147,52.012709,49.06293154,4.962
16168,52.08616682,33.80769728,5.7403
16210,52.21794555,49.84844593,5.5651
16228,52.26722736,59.94033468,4.3087
16244,52.3417927,49.5090193,4.6446
16245,52.34244324,-62.93843427,4.8043
16263,52.40009396,-12.67474871,5.6327
16281,52.47810894,58.87875252,4.671
16285,52.47997846,-42.63425273,5.822
16290,52.49552386,-78.35178502,5.8435
16292,52.50096008,55.45183686,5.114
16322,52.60198291,11.336481,5.132
16335,52.64367644,47.99517197,4.4945
16340,52.65388427,48.10365483,5.8208
16341,52.65437457,-5.07516319,4.71
16368,52.71534387,-66.48971822,5.7993
16369,52.7181958,12.93668147,4.3077
16470,53.03575435,48.02353384,5.4409
16489,53.08214714,84.91136335,5.7765
16499,53.10960037,46.05704306,5.3971
16509,53.14465222,-50.37884849,5.835
16511,53.14970742,9.37355757,5.7437
16518,53.16675727,35.46172046,5.8846
16537,53.23509022,-9.45830604,3.8652
16591,53.3959261,39.89959025,5.8387
16611,53.44686636,-21.63281573,4.2359
16664,53.61093199,24.46447553,5.9961
16780,53.99021703,-11.19397794,5.7329
16803,54.07246799,-17.46704075,5.208
16826,54.12233371,48.19270056,4.2925
16846,54.19711968,0.58815495,5.9609
16852,54.21882882,0.40283325,4.4104
16870,54.27365866,-40.27451059,4.7322
17103,54.96309863,3.05684305,5.714
17167,55.15972139,-5.21069752,5.4825
17203,55.28267189,37.58026413,5.5312
17296,55.53894605,63.21675888,5.0956
17304,55.5620799,-31.93839578,4.9335
17309,55.57893699,19.70028618,5.6842
17313,55.59434853,33.96503918,4.9631
17342,55.67805938,59.9693846,5.8393
17351,55.70884174,-37.31334483,4.7559
17358,55.7311752,47.78765317,2.9703
17378,55.81231675,-9.76519869,3.6796
17395,55.89099312,-10.48561208,5.6598
17440,56.04814575,-64.8070942,4.0019
17448,56.07969333,32.28827337,3.8583
17457,56.1271166,-1.16307843,5.2154
17460,56.13082026,36.4602038,5.6291
17489,56.20084225,24.28957701,5.4507
17499,56.21884818,24.1134484,3.6857
17506,56.23526064,-0.29671541,5.7008
17527,56.29052848,24.83937328,5.6447
17529,56.29851451,42.57854465,3.8717
17531,56.30200903,24.46737906,4.2724
17534,56.31616356,-47.35945428,5.8837
17563,56.41846016,6.05002902,5.3139
17573,56.45663811,24.36785797,3.8591
17579,56.4769331,24.55462133,5.7675
17584,56.49685466,45.6819441,5.6401
17585,56.50339874,67.20188092,5.8718
17587,56.50971988,63.34506762,4.922
17593,56.53542672,-12.10173525,4.5239
17608,56.58150148,23.94846199,4.1534
17618,56.61426571,-29.33816599,5.9555
17651,56.71245432,-23.24843785,4.3164
17678,56.80929757,-74.23924238,3.342
17702,56.87110081,24.10524179,2.848
17717,56.91508461,-23.87479579,5.2659
17738,56.98342918,-30.16732061,5.6816
17771,57.06771695,11.14336667,5.031
17776,57.08668458,23.42136364,5.4355
17797,57.14926008,-37.62012831,4.2697
17798,57.14884609,-20.90293621,5.9238
17847,57.29054699,24.05352413,3.6084
17851,57.29668416,24.13682556,5.0295
17854,57.30708663,70.87120239,5.4402
17874,57.36367012,-36.20011256,4.328
17884,57.3803565,65.52600622,4.3978
17886,57.38626037,33.09138143,5.1684
17891,57.40258876,63.29710443,5.8839
17932,57.51854771,44.96792115,5.796
17954,57.57881127,25.57964845,5.3049
17959,57.58948251,71.33236762,4.6368
18081,57.97381803,34.35912926,5.7777
18089,58.00093489,6.53491384,5.6804
18141,58.17355847,-5.36124178,5.4539
18212,58.41112554,48.65056841,5.9246
18213,58.41218402,-34.73229511,5.0631
18216,58.42784564,-24.6122126,4.5955
18217,58.42996856,57.97536964,5.8504
18246,58.5329938,31.88365779,2.898
18255,58.57286089,-2.95473374,4.6015
18262,58.5965766,-40.3570291,5.8218
18396,58.99232449,47.87147029,5.369
18434,59.11953373,35.08090819,5.4788
18453,59.15181657,50.69569131,5.3779
18471,59.21680302,22.47824998,5.7033
18488,59.28455249,61.10891706,5.13
18505,59.35598132,63.07224922,4.9464
18532,59.46342225,40.01027312,2.8348
18543,59.50720838,-13.50824446,3.0703
18597,59.68640628,-61.40015061,4.6497
18606,59.71842213,-5.46952372,5.9978
18614,59.7412487,35.79102722,4.0307
18647,59.87555246,-12.57433227,5.7362
18673,59.98115029,-24.01625667,4.5935
18723,60.16926437,-30.49070963,5.945
18724,60.17008546,12.49037559,3.3774
18735,60.20285807,18.19406873,5.9602
18744,60.22418673,-62.15936899,4.5138
18772,60.32529607,-61.07905151,5.1069
18788,60.38347482,-1.54962627,5.2315
18805,60.44222101,9.99801378,5.6792
18859,60.65273617,-0.26831082,5.4938
18907,60.78907039,5.98930896,3.9203
18957,60.93584947,5.43563754,5.2951
18975,60.98543796,8.19720126,5.5359
18993,61.0407822,2.82725253,5.4651
19009,61.09030697,24.10602645,5.6092
19011,61.09461004,-12.79233894,5.785
19018,61.11318186,59.15550831,5.1313
19038,61.17357438,22.08206796,4.5241
19095,61.40543299,-27.65203663,5.6665
19129,61.51321004,68.67996528,5.9956
19167,61.64606355,50.35135041,4.2801
19171,61.65165818,27.6000249,5.1397
19205,61.75215616,29.00128771,5.2963
19335,62.15206272,38.04022822,5.6343
19343,62.1653055,47.71259362,3.9864
19376,62.25650286,13.39829846,5.9604
19388,62.29125193,19.60929369,5.6757
19398,62.3243177,-16.38587737,5.4008
19454,62.50093215,86.62635136,5.9267
19461,62.51160437,80.69867413,5.2227
19483,62.59383281,-6.92382347,5.6074
19511,62.69890234,-8.81982091,5.8656
19513,62.7078375,26.48103954,5.4712
19515,62.71013759,-41.99374106,5.0108
19525,62.74592478,33.58681408,5.8876
19554,62.83414883,5.52303522,5.7917
19571,62.900731,-20.35627808,5.8498
19587,62.96638849,-6.83777866,4.1285
19719,63.38794258,7.7160339,5.3736
19740,63.48496212,9.26389875,4.9876
19747,63.50033879,-42.29387282,4.0124
19777,63.598722,-10.25588864,5.0352
19780,63.60596318,-62.47397892,3.4953
19799,63.65099153,10.01143879,5.1932
19805,63.70228805,-62.19204943,5.6109
19811,63.72212554,40.48372492,4.8418
19812,63.72440699,48.4093731,4.287
19849,63.82349253,-7.64455857,4.5615
19860,63.88352159,8.89240998,4.2656
19893,64.00621426,-51.48709571,4.3338
19921,64.12118135,-59.30174863,4.5977
19949,64.17960425,53.61180338,5.2217
19968,64.22311688,61.85004123,5.6562
19983,64.28363442,57.8604767,5.8866
19990,64.31535877,20.57874054,4.9992
20020,64.41777147,-63.25549179,5.8569
20042,64.4734105,-33.79833154,3.5167
